language,percentage,year
Python, 0.666, 2015
C#, 0.672, 2015
Haskell, 0.695, 2015
F#, 0.701, 2015
Scala, 0.706, 2015
Clojure, 0.710, 2015
Go, 0.725, 2015
Rust, 0.738, 2015
C++, 0.758, 2015
Swift, 0.776, 2015
Python, 0.625, 2016
C#, 0.620, 2016
Haskell, 0.647, 2016
F#, 0.707, 2016
Scala, 0.694, 2016
Clojure, 0.667, 2016
Go, 0.687, 2016
Rust, 0.791, 2016
Swift, 0.721, 2016
Javascript, 0.596, 2016
Python, 0.627, 2017
C#, 0.617, 2017
Haskell, 0.545, 2017
F#, 0.562, 2017
Scala, 0.599, 2017
Clojure, 0.598, 2017
Go, 0.633, 2017
Rust, 0.731, 2017
Swift, 0.639, 2017
Javascript, 0.598, 2017
Typescript, 0.641, 2017
Python, 0.68, 2018
C#, 0.604, 2018
Haskell, 0.536, 2018
F#, 0.596, 2018
Scala, 0.585, 2018
Clojure, 0.596, 2018
Go, 0.656, 2018
Rust, 0.789, 2018
Swift, 0.651, 2018
Javascript, 0.619, 2018
Typescript, 0.67, 2018
Kotlin, 0.751, 2018
Python, 0.731, 2019
C#, 0.67, 2019
F#, 0.617, 2019
Scala, 0.583, 2019
Clojure, 0.683, 2019
Go, 0.679, 2019
Rust, 0.835, 2019
Swift, 0.692, 2019
Javascript, 0.668, 2019
Typescript, 0.731, 2019
Kotlin, 0.726, 2019
Elixir, 0.682, 2019
