language,percentage,year
Python,0.6659999999999999,2015-12-31
C#,0.672,2015-12-31
Haskell,0.695,2015-12-31
F#,0.701,2015-12-31
Scala,0.706,2015-12-31
Clojure,0.71,2015-12-31
Go,0.725,2015-12-31
Rust,0.738,2015-12-31
C++,0.758,2015-12-31
Swift,0.7759999999999999,2015-12-31
Python,0.625,2016-12-31
C#,0.62,2016-12-31
Haskell,0.647,2016-12-31
F#,0.7070000000000001,2016-12-31
Scala,0.6940000000000001,2016-12-31
Clojure,0.667,2016-12-31
Go,0.687,2016-12-31
Rust,0.7909999999999999,2016-12-31
Swift,0.721,2016-12-31
Javascript,0.596,2016-12-31
Python,0.627,2017-12-31
C#,0.617,2017-12-31
Haskell,0.545,2017-12-31
F#,0.562,2017-12-31
Scala,0.599,2017-12-31
Clojure,0.598,2017-12-31
Go,0.633,2017-12-31
Rust,0.731,2017-12-31
Swift,0.639,2017-12-31
Javascript,0.598,2017-12-31
Typescript,0.6409999999999999,2017-12-31
Python,0.68,2018-12-31
C#,0.604,2018-12-31
Haskell,0.536,2018-12-31
F#,0.596,2018-12-31
Scala,0.585,2018-12-31
Clojure,0.596,2018-12-31
Go,0.6559999999999999,2018-12-31
Rust,0.789,2018-12-31
Swift,0.6509999999999999,2018-12-31
Javascript,0.619,2018-12-31
Typescript,0.67,2018-12-31
Kotlin,0.7509999999999999,2018-12-31
Python,0.731,2019-12-31
C#,0.67,2019-12-31
F#,0.617,2019-12-31
Scala,0.583,2019-12-31
Clojure,0.6829999999999999,2019-12-31
Go,0.679,2019-12-31
Rust,0.835,2019-12-31
Swift,0.6920000000000001,2019-12-31
Javascript,0.6679999999999999,2019-12-31
Typescript,0.731,2019-12-31
Kotlin,0.726,2019-12-31
Elixir,0.682,2019-12-31
